,roll1,roll2,roll3,roll4,roll5,roll6,roll7,roll8,roll9,roll10,roll11,roll12,roll13,roll14,roll15,roll16,roll17,roll18,roll19,roll20
41,2,1,2,2,1,0,1,2,2,1,2,2,1,1,2,1,2,1,2,1
42,1,2,1,2,2,1,0,1,2,2,1,2,2,1,1,2,1,2,1,2
43,2,1,2,1,2,2,1,0,1,2,2,1,2,2,1,1,2,1,2,1
44,1,2,1,2,1,2,2,1,0,1,2,2,1,2,2,1,1,2,1,2
45,2,1,2,1,2,1,2,2,1,0,1,2,2,1,2,2,1,1,2,1
46,2,2,1,2,1,2,1,2,2,1,0,1,2,2,1,2,2,1,1,2
47,2,2,2,1,2,1,2,1,2,2,1,0,1,2,2,1,2,2,1,1
48,1,2,2,2,1,2,1,2,1,2,2,1,0,1,2,2,1,2,2,1
49,2,1,2,2,2,1,2,1,2,1,2,2,1,0,1,2,2,1,2,2
50,2,2,1,2,2,2,1,2,1,2,1,2,2,1,0,1,2,2,1,2
51,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,0,1,2,2,1
52,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,0,1,2,2
53,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,0,1,2
54,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,0,1
55,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1,0
56,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2,1
57,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2,2
58,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1,2
59,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2,1
60,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1,2
61,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,1
62,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2
63,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2,1
64,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2,2
65,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,2
66,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2
67,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1
68,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2,2
69,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,2
70,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1
71,0,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1
72,2,0,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,1
73,2,2,0,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1
74,2,2,2,0,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2
75,2,2,2,2,0,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1
76,1,2,2,2,2,0,1,2,1,1,2,2,1,1,2,2,2,2,2,2
77,2,1,2,2,2,2,0,1,2,1,1,2,2,1,1,2,2,2,2,2
78,1,2,1,2,2,2,2,0,1,2,1,1,2,2,1,1,2,2,2,2
79,2,1,2,1,2,2,2,2,0,1,2,1,1,2,2,1,1,2,2,2
80,1,2,1,2,1,2,2,2,2,0,1,2,1,1,2,2,1,1,2,2
81,1,1,2,1,2,1,2,2,2,2,0,1,2,1,1,2,2,1,1,2
82,2,1,1,2,1,2,1,2,2,2,2,0,1,2,1,1,2,2,1,1
83,0,2,1,1,2,1,2,1,2,2,2,2,0,1,2,1,1,2,2,1
84,2,0,2,1,1,2,1,2,1,2,2,2,2,0,1,2,1,1,2,2
85,2,2,0,2,1,1,2,1,2,1,2,2,2,2,0,1,2,1,1,2
86,1,2,2,0,2,1,1,2,1,2,1,2,2,2,2,0,1,2,1,1
87,2,1,2,2,0,2,1,1,2,1,2,1,2,2,2,2,0,1,2,1
88,2,2,1,2,2,0,2,1,1,2,1,2,1,2,2,2,2,0,1,2
89,2,2,2,1,2,2,0,2,1,1,2,1,2,1,2,2,2,2,0,1
90,2,2,2,2,1,2,2,0,2,1,1,2,1,2,1,2,2,2,2,0
91,1,2,2,2,2,1,2,2,0,2,1,1,2,1,2,1,2,2,2,2
92,2,1,2,2,2,2,1,2,2,0,2,1,1,2,1,2,1,2,2,2
93,1,2,1,2,2,2,2,1,2,2,0,2,1,1,2,1,2,1,2,2
94,2,1,2,1,2,2,2,2,1,2,2,0,2,1,1,2,1,2,1,2
95,1,2,1,2,1,2,2,2,2,1,2,2,0,2,1,1,2,1,2,1
96,2,1,2,1,2,1,2,2,2,2,1,2,2,0,2,1,1,2,1,2
97,2,2,1,2,1,2,1,2,2,2,2,1,2,2,0,2,1,1,2,1
98,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,0,2,1,1,2
99,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,0,2,1,1
100,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,0,2,1
101,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,0,2
102,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2,0
103,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,2
104,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2
105,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,1
106,2,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2
107,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2
108,0,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2,2
109,2,0,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,2
110,1,2,0,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1
111,2,1,2,0,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1,2
112,2,2,1,2,0,1,2,1,1,2,1,1,1,1,2,2,2,1,2,1
113,2,2,2,1,2,0,1,2,1,1,2,1,1,1,1,2,2,2,1,2
114,2,2,2,2,1,2,0,1,2,1,1,2,1,1,1,1,2,2,2,1
115,2,2,2,2,2,1,2,0,1,2,1,1,2,1,1,1,1,2,2,2
116,2,2,2,2,2,2,1,2,0,1,2,1,1,2,1,1,1,1,2,2
117,0,2,2,2,2,2,2,1,2,0,1,2,1,1,2,1,1,1,1,2
118,2,0,2,2,2,2,2,2,1,2,0,1,2,1,1,2,1,1,1,1
119,1,2,0,2,2,2,2,2,2,1,2,0,1,2,1,1,2,1,1,1
120,2,1,2,0,2,2,2,2,2,2,1,2,0,1,2,1,1,2,1,1
121,1,2,1,2,0,2,2,2,2,2,2,1,2,0,1,2,1,1,2,1
122,2,1,2,1,2,0,2,2,2,2,2,2,1,2,0,1,2,1,1,2
123,2,2,1,2,1,2,0,2,2,2,2,2,2,1,2,0,1,2,1,1
124,2,2,2,1,2,1,2,0,2,2,2,2,2,2,1,2,0,1,2,1
125,2,2,2,2,1,2,1,2,0,2,2,2,2,2,2,1,2,0,1,2
126,2,2,2,2,2,1,2,1,2,0,2,2,2,2,2,2,1,2,0,1
127,2,2,2,2,2,2,1,2,1,2,0,2,2,2,2,2,2,1,2,0
128,2,2,2,2,2,2,2,1,2,1,2,0,2,2,2,2,2,2,1,2
129,2,2,2,2,2,2,2,2,1,2,1,2,0,2,2,2,2,2,2,1
130,0,2,2,2,2,2,2,2,2,1,2,1,2,0,2,2,2,2,2,2
131,1,0,2,2,2,2,2,2,2,2,1,2,1,2,0,2,2,2,2,2
132,1,1,0,2,2,2,2,2,2,2,2,1,2,1,2,0,2,2,2,2
133,2,1,1,0,2,2,2,2,2,2,2,2,1,2,1,2,0,2,2,2
134,2,2,1,1,0,2,2,2,2,2,2,2,2,1,2,1,2,0,2,2
135,1,2,2,1,1,0,2,2,2,2,2,2,2,2,1,2,1,2,0,2
136,1,1,2,2,1,1,0,2,2,2,2,2,2,2,2,1,2,1,2,0
137,1,1,1,2,2,1,1,0,2,2,2,2,2,2,2,2,1,2,1,2
138,1,1,1,1,2,2,1,1,0,2,2,2,2,2,2,2,2,1,2,1
139,2,1,1,1,1,2,2,1,1,0,2,2,2,2,2,2,2,2,1,2
140,1,2,1,1,1,1,2,2,1,1,0,2,2,2,2,2,2,2,2,1
141,2,1,2,1,1,1,1,2,2,1,1,0,2,2,2,2,2,2,2,2
142,2,2,1,2,1,1,1,1,2,2,1,1,0,2,2,2,2,2,2,2
143,1,2,2,1,2,1,1,1,1,2,2,1,1,0,2,2,2,2,2,2
144,2,1,2,2,1,2,1,1,1,1,2,2,1,1,0,2,2,2,2,2
145,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,0,2,2,2,2
146,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,0,2,2,2
147,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,0,2,2
148,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,0,2
149,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1,0
150,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1,1
151,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2,1
152,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,2
153,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2
154,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1
155,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1
156,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1,1
157,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,1
158,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2
159,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1
160,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2
161,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2
162,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2,1
163,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1,2
164,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,1
165,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1
166,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,2
167,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1
168,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1
169,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,2
170,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1
171,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2,2
172,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2,2
173,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1,2
174,1,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,1
175,2,1,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2
176,1,2,1,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2
177,2,1,2,1,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2
178,2,2,1,2,1,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2
179,1,2,2,1,2,1,1,0,1,1,2,1,2,2,1,1,1,2,2,1
180,1,1,2,2,1,2,1,1,0,1,1,2,1,2,2,1,1,1,2,2
181,2,1,1,2,2,1,2,1,1,0,1,1,2,1,2,2,1,1,1,2
182,1,2,1,1,2,2,1,2,1,1,0,1,1,2,1,2,2,1,1,1
183,1,1,2,1,1,2,2,1,2,1,1,0,1,1,2,1,2,2,1,1
184,1,1,1,2,1,1,2,2,1,2,1,1,0,1,1,2,1,2,2,1
185,2,1,1,1,2,1,1,2,2,1,2,1,1,0,1,1,2,1,2,2
186,1,2,1,1,1,2,1,1,2,2,1,2,1,1,0,1,1,2,1,2
187,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,0,1,1,2,1
188,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,0,1,1,2
189,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,0,1,1
190,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,0,1
191,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,0
192,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1
193,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1
194,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2
195,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1
196,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2
197,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2
198,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1
199,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1
200,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2
201,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
202,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1
203,2,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1
204,1,2,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2
205,2,1,2,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
206,2,2,1,2,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1
207,1,2,2,1,2,1,0,2,2,2,2,1,1,1,1,1,1,1,1,1
208,1,1,2,2,1,2,1,0,2,2,2,2,1,1,1,1,1,1,1,1
209,1,1,1,2,2,1,2,1,0,2,2,2,2,1,1,1,1,1,1,1
210,1,1,1,1,2,2,1,2,1,0,2,2,2,2,1,1,1,1,1,1
211,2,1,1,1,1,2,2,1,2,1,0,2,2,2,2,1,1,1,1,1
212,2,2,1,1,1,1,2,2,1,2,1,0,2,2,2,2,1,1,1,1
213,2,2,2,1,1,1,1,2,2,1,2,1,0,2,2,2,2,1,1,1
214,2,2,2,2,1,1,1,1,2,2,1,2,1,0,2,2,2,2,1,1
215,2,2,2,2,2,1,1,1,1,2,2,1,2,1,0,2,2,2,2,1
216,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,0,2,2,2,2
217,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,0,2,2,2
218,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,0,2,2
219,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,0,2
220,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,0
221,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1
222,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2
223,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1
224,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2
225,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2
226,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,1
227,0,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1
228,2,0,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1,1
229,2,2,0,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2,1
230,2,2,2,0,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2,2
231,2,2,2,2,0,1,1,2,1,2,2,1,2,2,1,1,2,2,2,2
232,2,2,2,2,2,0,1,1,2,1,2,2,1,2,2,1,1,2,2,2
233,2,2,2,2,2,2,0,1,1,2,1,2,2,1,2,2,1,1,2,2
234,1,2,2,2,2,2,2,0,1,1,2,1,2,2,1,2,2,1,1,2
235,2,1,2,2,2,2,2,2,0,1,1,2,1,2,2,1,2,2,1,1
236,2,2,1,2,2,2,2,2,2,0,1,1,2,1,2,2,1,2,2,1
237,0,2,2,1,2,2,2,2,2,2,0,1,1,2,1,2,2,1,2,2
238,2,0,2,2,1,2,2,2,2,2,2,0,1,1,2,1,2,2,1,2
239,1,2,0,2,2,1,2,2,2,2,2,2,0,1,1,2,1,2,2,1
240,2,1,2,0,2,2,1,2,2,2,2,2,2,0,1,1,2,1,2,2
241,0,2,1,2,0,2,2,1,2,2,2,2,2,2,0,1,1,2,1,2
242,1,0,2,1,2,0,2,2,1,2,2,2,2,2,2,0,1,1,2,1
243,1,1,0,2,1,2,0,2,2,1,2,2,2,2,2,2,0,1,1,2
244,2,1,1,0,2,1,2,0,2,2,1,2,2,2,2,2,2,0,1,1
245,2,2,1,1,0,2,1,2,0,2,2,1,2,2,2,2,2,2,0,1
246,1,2,2,1,1,0,2,1,2,0,2,2,1,2,2,2,2,2,2,0
247,1,1,2,2,1,1,0,2,1,2,0,2,2,1,2,2,2,2,2,2
248,2,1,1,2,2,1,1,0,2,1,2,0,2,2,1,2,2,2,2,2
249,2,2,1,1,2,2,1,1,0,2,1,2,0,2,2,1,2,2,2,2
250,2,2,2,1,1,2,2,1,1,0,2,1,2,0,2,2,1,2,2,2
251,1,2,2,2,1,1,2,2,1,1,0,2,1,2,0,2,2,1,2,2
252,2,1,2,2,2,1,1,2,2,1,1,0,2,1,2,0,2,2,1,2
253,2,2,1,2,2,2,1,1,2,2,1,1,0,2,1,2,0,2,2,1
254,2,2,2,1,2,2,2,1,1,2,2,1,1,0,2,1,2,0,2,2
255,1,2,2,2,1,2,2,2,1,1,2,2,1,1,0,2,1,2,0,2
256,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,0,2,1,2,0
257,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,0,2,1,2
258,0,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,0,2,1
259,2,0,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,0,2
260,1,2,0,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,0
261,1,1,2,0,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1
262,2,1,1,2,0,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1
263,2,2,1,1,2,0,1,1,1,2,2,2,1,2,2,2,1,1,2,2
264,2,2,2,1,1,2,0,1,1,1,2,2,2,1,2,2,2,1,1,2
265,1,2,2,2,1,1,2,0,1,1,1,2,2,2,1,2,2,2,1,1
266,2,1,2,2,2,1,1,2,0,1,1,1,2,2,2,1,2,2,2,1
267,2,2,1,2,2,2,1,1,2,0,1,1,1,2,2,2,1,2,2,2
268,0,2,2,1,2,2,2,1,1,2,0,1,1,1,2,2,2,1,2,2
269,1,0,2,2,1,2,2,2,1,1,2,0,1,1,1,2,2,2,1,2
270,2,1,0,2,2,1,2,2,2,1,1,2,0,1,1,1,2,2,2,1
271,1,2,1,0,2,2,1,2,2,2,1,1,2,0,1,1,1,2,2,2
272,1,1,2,1,0,2,2,1,2,2,2,1,1,2,0,1,1,1,2,2
273,2,1,1,2,1,0,2,2,1,2,2,2,1,1,2,0,1,1,1,2
274,0,2,1,1,2,1,0,2,2,1,2,2,2,1,1,2,0,1,1,1
275,2,0,2,1,1,2,1,0,2,2,1,2,2,2,1,1,2,0,1,1
276,1,2,0,2,1,1,2,1,0,2,2,1,2,2,2,1,1,2,0,1
277,1,1,2,0,2,1,1,2,1,0,2,2,1,2,2,2,1,1,2,0
278,1,1,1,2,0,2,1,1,2,1,0,2,2,1,2,2,2,1,1,2
279,1,1,1,1,2,0,2,1,1,2,1,0,2,2,1,2,2,2,1,1
280,2,1,1,1,1,2,0,2,1,1,2,1,0,2,2,1,2,2,2,1
281,1,2,1,1,1,1,2,0,2,1,1,2,1,0,2,2,1,2,2,2
282,1,1,2,1,1,1,1,2,0,2,1,1,2,1,0,2,2,1,2,2
283,0,1,1,2,1,1,1,1,2,0,2,1,1,2,1,0,2,2,1,2
284,2,0,1,1,2,1,1,1,1,2,0,2,1,1,2,1,0,2,2,1
285,1,2,0,1,1,2,1,1,1,1,2,0,2,1,1,2,1,0,2,2
286,1,1,2,0,1,1,2,1,1,1,1,2,0,2,1,1,2,1,0,2
287,2,1,1,2,0,1,1,2,1,1,1,1,2,0,2,1,1,2,1,0
288,2,2,1,1,2,0,1,1,2,1,1,1,1,2,0,2,1,1,2,1
289,2,2,2,1,1,2,0,1,1,2,1,1,1,1,2,0,2,1,1,2
290,2,2,2,2,1,1,2,0,1,1,2,1,1,1,1,2,0,2,1,1
291,1,2,2,2,2,1,1,2,0,1,1,2,1,1,1,1,2,0,2,1
292,1,1,2,2,2,2,1,1,2,0,1,1,2,1,1,1,1,2,0,2
293,2,1,1,2,2,2,2,1,1,2,0,1,1,2,1,1,1,1,2,0
294,1,2,1,1,2,2,2,2,1,1,2,0,1,1,2,1,1,1,1,2
295,1,1,2,1,1,2,2,2,2,1,1,2,0,1,1,2,1,1,1,1
296,2,1,1,2,1,1,2,2,2,2,1,1,2,0,1,1,2,1,1,1
297,1,2,1,1,2,1,1,2,2,2,2,1,1,2,0,1,1,2,1,1
298,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,0,1,1,2,1
299,0,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,0,1,1,2
300,2,0,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,0,1,1
301,1,2,0,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,0,1
302,2,1,2,0,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2,0
303,2,2,1,2,0,1,1,2,1,1,2,1,1,2,2,2,2,1,1,2
304,1,2,2,1,2,0,1,1,2,1,1,2,1,1,2,2,2,2,1,1
305,2,1,2,2,1,2,0,1,1,2,1,1,2,1,1,2,2,2,2,1
306,2,2,1,2,2,1,2,0,1,1,2,1,1,2,1,1,2,2,2,2
307,0,2,2,1,2,2,1,2,0,1,1,2,1,1,2,1,1,2,2,2
308,2,0,2,2,1,2,2,1,2,0,1,1,2,1,1,2,1,1,2,2
309,2,2,0,2,2,1,2,2,1,2,0,1,1,2,1,1,2,1,1,2
310,2,2,2,0,2,2,1,2,2,1,2,0,1,1,2,1,1,2,1,1
311,1,2,2,2,0,2,2,1,2,2,1,2,0,1,1,2,1,1,2,1
312,1,1,2,2,2,0,2,2,1,2,2,1,2,0,1,1,2,1,1,2
313,1,1,1,2,2,2,0,2,2,1,2,2,1,2,0,1,1,2,1,1
314,2,1,1,1,2,2,2,0,2,2,1,2,2,1,2,0,1,1,2,1
315,1,2,1,1,1,2,2,2,0,2,2,1,2,2,1,2,0,1,1,2
316,1,1,2,1,1,1,2,2,2,0,2,2,1,2,2,1,2,0,1,1
317,2,1,1,2,1,1,1,2,2,2,0,2,2,1,2,2,1,2,0,1
318,2,2,1,1,2,1,1,1,2,2,2,0,2,2,1,2,2,1,2,0
319,2,2,2,1,1,2,1,1,1,2,2,2,0,2,2,1,2,2,1,2
320,2,2,2,2,1,1,2,1,1,1,2,2,2,0,2,2,1,2,2,1
321,1,2,2,2,2,1,1,2,1,1,1,2,2,2,0,2,2,1,2,2
322,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,0,2,2,1,2
323,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,0,2,2,1
324,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,0,2,2
325,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,0,2
326,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2,0
327,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2,2
328,0,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,2
